Index	Label
0	7
1	6
2	9
3	9
4	7
5	7
6	6
7	4
8	9
9	9
10	1
11	4
12	3
13	3
14	6
15	7
16	9
17	4
18	2
19	4
20	9
21	0
22	5
23	1
24	4
25	1
26	8
27	5
28	0
29	5
30	7
31	8
32	7
33	3
34	1
35	8
36	2
37	0
38	5
39	7
40	5
41	5
42	3
43	1
44	3
45	0
46	3
47	1
48	4
49	1
50	1
51	9
52	0
53	7
54	0
55	1
56	0
57	6
58	6
59	4
60	3
61	1
62	3
63	2
64	8
65	2
66	8
67	8
68	2
69	7
70	3
71	8
72	4
73	4
74	2
75	6
76	0
77	7
78	0
79	5
80	0
81	7
82	6
83	9
84	3
85	2
86	0
87	1
88	8
89	6
90	7
91	7
92	3
93	5
94	6
95	4
96	7
97	8
98	5
99	7
100	4
101	3
102	4
103	7
104	2
105	1
106	7
107	5
108	6
109	7
110	6
111	9
112	9
113	0
114	2
115	6
116	9
117	1
118	3
119	7
120	6
121	7
122	5
123	4
124	7
125	0
126	2
127	2
128	8
129	4
130	5
131	0
132	4
133	4
134	6
135	0
136	7
137	1
138	1
139	3
140	7
141	3
142	1
143	8
144	7
145	4
146	1
147	9
148	1
149	1
150	7
151	1
152	9
153	1
154	6
155	2
156	9
157	4
158	4
159	4
160	3
161	1
162	6
163	0
164	8
165	7
166	3
167	5
168	3
169	0
170	1
171	0
172	3
173	8
174	8
175	2
176	5
177	6
178	8
179	4
180	2
181	9
182	3
183	4
184	6
185	1
186	2
187	7
188	1
189	0
190	4
191	2
192	8
193	4
194	3
195	6
196	6
197	1
198	9
199	3
200	3
201	2
202	7
203	9
204	1
205	7
206	9
207	2
208	4
209	2
210	9
211	4
212	2
213	2
214	7
215	7
216	8
217	3
218	8
219	7
220	0
221	8
222	1
223	2
224	1
225	1
226	3
227	7
228	7
229	9
230	1
231	0
232	9
233	4
234	8
235	8
236	6
237	9
238	8
239	9
240	5
241	7
242	8
243	0
244	1
245	5
246	2
247	6
248	8
249	6
250	2
251	4
252	0
253	3
254	0
255	2
256	9
257	8
258	3
259	2
260	3
261	1
262	4
263	5
264	5
265	9
266	3
267	3
268	1
269	7
270	0
271	9
272	2
273	5
274	3
275	7
276	3
277	0
278	0
279	2
280	4
281	2
282	1
283	8
284	0
285	4
286	6
287	0
288	2
289	8
290	5
291	6
292	4
293	6
294	7
295	7
296	3
297	3
298	4
299	4
300	3
301	7
302	0
303	3
304	3
305	1
306	0
307	1
308	2
309	1
310	5
311	7
312	4
313	4
314	1
315	7
316	5
317	7
318	9
319	2
320	6
321	3
322	4
323	0
324	9
325	7
326	2
327	4
328	4
329	9
330	8
331	4
332	2
333	9
334	9
335	0
336	4
337	7
338	0
339	9
340	8
341	7
342	5
343	8
344	1
345	0
346	2
347	7
348	6
349	2
350	8
351	3
352	5
353	0
354	4
355	1
356	3
357	3
358	9
359	0
360	9
361	6
362	4
363	9
364	6
365	1
366	9
367	3
368	4
369	2
370	0
371	3
372	7
373	4
374	3
375	8
376	5
377	3
378	9
379	1
380	7
381	2
382	8
383	1
384	6
385	0
386	7
387	2
388	5
389	4
390	5
391	2
392	8
393	0
394	6
395	1
396	5
397	0
398	8
399	9
400	8
401	1
402	1
403	9
404	5
405	5
406	9
407	6
408	3
409	9
410	9
411	9
412	6
413	1
414	4
415	3
416	4
417	1
418	0
419	8
420	8
421	9
422	2
423	6
424	8
425	5
426	4
427	6
428	7
429	9
430	1
431	4
432	1
433	7
434	7
435	7
436	5
437	6
438	3
439	4
440	8
441	3
442	6
443	9
444	9
445	1
446	9
447	3
448	2
449	6
450	7
451	9
452	2
453	2
454	2
455	9
456	1
457	7
458	6
459	8
460	1
461	5
462	1
463	3
464	3
465	4
466	8
467	7
468	2
469	8
470	7
471	3
472	1
473	3
474	6
475	2
476	2
477	2
478	0
479	3
480	9
481	4
482	7
483	6
484	0
485	9
486	3
487	2
488	1
489	1
490	8
491	2
492	6
493	0
494	0
495	5
496	8
497	2
498	5
499	1
